Model,Type,Accuracy,Macro Precision,Macro Recall,Macro F1
Decision Tree,Built-in,0.4250,0.4007,0.3979,0.3993
Decision Tree,From Scratch,0.3250,0.3219,0.2625,0.2892
Random Forest,Built-in,0.4250,0.3006,0.3396,0.3189
Random Forest,From Scratch,0.4250,0.3329,0.3688,0.3499
Linear Regression,Built-in,0.4500,0.2923,0.3750,0.3285
Linear Regression,From Scratch,0.4500,0.2923,0.3750,0.3285
Logistic Regression,Built-in,0.4250,0.3482,0.3875,0.3668
Logistic Regression,From Scratch,0.4250,0.4062,0.4021,0.4042
KNN,Built-in,0.2000,0.1531,0.1833,0.1669
KNN,From Scratch,0.1750,0.1442,0.1500,0.1471
Naive Bayes,Built-in,0.3750,0.3042,0.3500,0.3255
Naive Bayes,From Scratch,0.3750,0.3069,0.3500,0.3271
